external_id,company_name,image_url,company_tier
1,Google India,https://logo.clearbit.com/google.com,1
2,Amazon India,https://logo.clearbit.com/amazon.in,1
3,Microsoft India,https://logo.clearbit.com/microsoft.com,1
4,Meta,https://logo.clearbit.com/meta.com,1
5,Apple India,https://logo.clearbit.com/apple.com,1
6,Infosys,https://logo.clearbit.com/infosys.com,2
7,Tata Consultancy Services,https://logo.clearbit.com/tcs.com,2
8,Wipro,https://logo.clearbit.com/wipro.com,2
9,Accenture,https://logo.clearbit.com/accenture.com,2
10,Flipkart,https://logo.clearbit.com/flipkart.com,2
11,Cognizant,https://logo.clearbit.com/cognizant.com,2
12,Capgemini,https://logo.clearbit.com/capgemini.com,2
13,Zerodha,https://logo.clearbit.com/zerodha.com,3
14,Razorpay,https://logo.clearbit.com/razorpay.com,3
15,CRED,https://logo.clearbit.com/cred.club,3
16,Meesho,https://logo.clearbit.com/meesho.com,3
17,Swiggy,https://logo.clearbit.com/swiggy.com,3
18,Groww,https://logo.clearbit.com/groww.in,3
19,Postman,https://logo.clearbit.com/postman.com,3
20,Freshworks,https://logo.clearbit.com/freshworks.com,3
